id,artist,title,year
st006,Aria Rostami,Agnys,2016
st005,Sage Caswell,Sleep Quarters,2015
st004,Keita Sano,Once I Found a Diamond,2015
st003,Avalon Emerson,Let Me Love & Steal,2014
st002,Aria Rostami,Czarat,2014
st001,Avalon Emerson,Church of SoMa,2014
